id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,kategori_siswa,jumlah_siswa,satuan,tahun
99,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,SDN 099 BABAKAN TAROGONG KOTA BANDUNG,20244943,SK SISWA,334,ORANG,2018
100,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,32.73.01,SUKASARI,SDN 100 CIPEDES KOTA BANDUNG,20245922,SK SISWA,56,ORANG,2018
101,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,SDN 101 SUKAKARYA KOTA BANDUNG,20245795,SK SISWA,100,ORANG,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,SDN 102 CIKUDAYASA KOTA BANDUNG,20245492,SK SISWA,141,ORANG,2018
103,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SDN 103 COBLONG KOTA BANDUNG,20245549,SK SISWA,88,ORANG,2018
104,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,32.73.02,COBLONG,SDN 104 LANGENSARI SENANGGALIH KOTA BANDUNG,20245710,SK SISWA,387,ORANG,2018
105,32,JAWA BARAT,3273,KOTA BANDUNG,3273111,PANYILEUKAN,32.73.28,PANYILEUKAN,SDN 105 SUKARELA KOTA BANDUNG,20245790,SK SISWA,272,ORANG,2018
106,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,SDN 106 AJITUNGGAL CIJAMBE KOTA BANDUNG,20246393,SK SISWA,231,ORANG,2018
107,32,JAWA BARAT,3273,KOTA BANDUNG,3273120,UJUNG BERUNG,32.73.26,UJUNGBERUNG,SDN 107 PALEDANG KOTA BANDUNG,20245729,SK SISWA,332,ORANG,2018
108,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,SDN 108 CIUMBULEUIT KOTA BANDUNG,20245144,SK SISWA,47,ORANG,2018
109,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,SDN 109 CENTEH KOTA BANDUNG,20244829,SK SISWA,526,ORANG,2018
